
account_id,billing_month,invoices_sent,invoices_paid,payment_delay_days
A011,2025-06,34907,31624,29
A012,2025-01,9514,7235,14
A012,2025-02,40543,37902,9
A012,2025-03,11609,9530,9
A012,2025-04,38092,36881,15
A012,2025-05,25726,22750,12
A012,2025-06,42629,39684,20
A013,2025-01,9663,5984,2
A013,2025-02,5015,3651,28
A013,2025-03,10219,6149,26
A013,2025-04,22679,20344,7
A013,2025-05,19564,19485,4
A013,2025-06,47482,46931,19
A014,2025-01,29267,24465,25
A014,2025-02,32242,32163,28
A014,2025-03,29758,27369,1
A014,2025-04,26242,21759,4
A014,2025-05,38789,34602,22
A014,2025-06,27400,26363,5
A015,2025-01,22621,22142,22
A015,2025-02,14961,10128,14
A015,2025-03,15662,13318,11
A015,2025-04,26569,24846,18
A015,2025-05,9103,4416,25
A015,2025-06,7565,5007,9
A016,2025-01,11463,10318,27
A016,2025-02,35778,31043,0
A016,2025-03,16406,15734,6
A016,2025-04,31497,29846,16
A016,2025-05,11651,7236,9
A016,2025-06,34422,30029,16
A017,2025-01,36482,35162,27
A017,2025-02,20265,19839,13
A017,2025-03,37237,33926,15
A017,2025-04,30944,28700,14
A017,2025-05,10995,9537,4
A017,2025-06,14126,14120,7
A018,2025-01,45462,40766,13
A018,2025-02,34692,32949,2
A018,2025-03,30546,30058,13
A018,2025-04,19488,17336,12
A018,2025-05,16458,13258,22
A018,2025-06,46868,45808,25
A019,2025-01,19707,19381,20
A019,2025-02,18871,17201,16
A019,2025-03,34258,32027,19
A019,2025-04,31194,26741,27
A019,2025-05,19253,18332,24
A019,2025-06,26901,23055,10
A020,2025-01,25594,21537,13
A020,2025-02,18583,15030,1
A020,2025-03,21352,16439,29
A020,2025-04,22857,18358,19
A020,2025-05,27082,26304,17
A020,2025-06,41958,41308,26
A021,2025-01,18295,13951,22
A021,2025-02,14748,9850,20
A021,2025-03,27714,25472,5
A021,2025-04,9664,5204,7
A021,2025-05,14988,10186,30
A021,2025-06,27928,23418,2
A022,2025-01,22864,21630,8
A022,2025-02,47939,46783,0
A022,2025-03,27622,25572,12
A022,2025-04,23537,21399,24
A022,2025-05,44167,43184,18
A022,2025-06,18246,17396,27
A023,2025-01,22101,20618,2
A023,2025-02,35189,31904,1
A023,2025-03,46166,42811,14
A023,2025-04,24789,23976,16
A023,2025-05,26835,24281,20
A023,2025-06,41657,39661,9
A024,2025-01,48854,48280,9
A024,2025-02,46796,41977,11
A024,2025-03,44084,40369,5
A024,2025-04,37322,35664,30
A024,2025-05,7563,4088,8
A024,2025-06,42454,39508,13
A025,2025-01,36332,31910,7
A025,2025-02,9270,6367,24
A025,2025-03,26171,25624,28
A025,2025-04,39351,37887,4
A025,2025-05,21970,17296,25
A025,2025-06,43716,39548,30
A026,2025-01,19505,16265,17
A026,2025-02,39921,38603,29
A026,2025-03,25478,20556,22
A026,2025-04,13050,10353,9
A026,2025-05,49898,49100,15
A026,2025-06,45255,44231,24
A027,2025-01,14144,12133,11
A027,2025-02,9114,6636,27
A027,2025-03,30745,28501,2
A027,2025-04,18308,14401,24
A027,2025-05,27439,24160,7
A027,2025-06,34311,33325,20
A028,2025-01,48530,45200,18
A028,2025-02,27170,25124,21
A028,2025-03,13902,12438,28
A028,2025-04,40518,38846,21
A028,2025-05,33854,30742,22
A028,2025-06,19857,18895,1
A029,2025-01,21008,16970,13
A029,2025-02,30137,29855,0
A029,2025-03,8301,6775,23
A029,2025-04,46305,42527,7
A029,2025-05,31417,30749,16
A029,2025-06,20878,17667,5
A030,2025-01,27843,24218,3
A030,2025-02,30422,26239,20
A030,2025-03,10068,8174,18
A030,2025-04,21347,17238,6
A030,2025-05,5880,5672,8
A030,2025-06,42895,39232,15
A031,2025-01,15453,11024,0
A031,2025-02,48560,47845,24
A031,2025-03,5633,1639,12
A031,2025-04,33177,30033,11
A031,2025-05,21374,18017,9
A031,2025-06,21605,18968,3
A032,2025-01,38271,38108,0
A032,2025-02,12195,8536,12
A032,2025-03,25994,24657,3
A032,2025-04,25664,21086,30
A032,2025-05,36351,32604,8
A032,2025-06,41717,39007,16
A033,2025-01,34403,31267,12
A033,2025-02,22065,18711,1
A033,2025-03,19304,18983,13
A033,2025-04,21998,17768,23
A033,2025-05,38489,35531,17
A033,2025-06,15052,12311,5
A034,2025-01,25938,21125,29
A034,2025-02,29958,27065,12
A034,2025-03,49467,45136,10
A034,2025-04,6868,3000,30
A034,2025-05,48294,45628,1
A034,2025-06,23011,19903,24
A035,2025-01,46874,45595,0
A035,2025-02,32622,31464,6
A035,2025-03,24863,21350,15
A035,2025-04,19040,15794,17
A035,2025-05,7795,6621,21
A035,2025-06,15198,14187,11
A036,2025-01,47146,42444,16
A036,2025-02,48163,44062,12
A036,2025-03,10874,6615,30
A036,2025-04,6962,4787,16
A036,2025-05,19373,17538,29
A036,2025-06,27121,24480,16
A037,2025-01,20708,18538,21
A037,2025-02,10826,6015,29
A037,2025-03,10838,9556,3
A037,2025-04,30957,29082,4
A037,2025-05,27789,25733,21
A037,2025-06,14696,11502,13
A038,2025-01,47097,45216,10
A038,2025-02,8528,5927,28
A038,2025-03,10076,7167,6
A038,2025-04,41543,41197,9
A038,2025-05,14130,10841,14
A038,2025-06,22800,19575,6
A039,2025-01,46836,43847,8
A039,2025-02,9942,8590,4
A039,2025-03,7022,3902,7
A039,2025-04,21146,19942,0
A039,2025-05,21442,18450,28
A039,2025-06,24702,19762,13
A040,2025-01,26202,23262,2
A040,2025-02,38011,33266,23
A040,2025-03,48115,45982,11
A040,2025-04,16468,11946,7
A040,2025-05,7502,2570,2
A040,2025-06,9587,5206,27
A041,2025-01,29851,26643,11
A041,2025-02,45429,45235,22
A041,2025-03,47383,43408,26
A041,2025-04,24459,23935,8
A041,2025-05,31582,29763,0
A041,2025-06,14899,14836,19
A042,2025-01,45871,42953,18
A042,2025-02,41965,41236,29
A042,2025-03,11681,8200,6
A042,2025-04,23061,20826,6
A042,2025-05,21951,20725,0
A042,2025-06,5355,3971,17
A043,2025-01,34807,29994,3
A043,2025-02,27527,26164,8
A043,2025-03,32018,29456,28
A043,2025-04,28124,24165,20
A043,2025-05,18982,18780,21
A043,2025-06,40958,40843,22
A044,2025-01,8265,4227,6
A044,2025-02,6041,3075,19
A044,2025-03,20078,16309,9
A044,2025-04,16444,15262,7
A044,2025-05,29933,29339,26
A044,2025-06,24535,20638,13
A045,2025-01,33949,32154,2
A045,2025-02,42980,42908,3
A045,2025-03,25484,22585,4
A045,2025-04,20963,16962,18
A045,2025-05,39626,35017,0
A045,2025-06,37750,36209,12
A046,2025-01,31958,29457,13
A046,2025-02,48228,46079,6
A046,2025-03,25285,25245,7
A046,2025-04,30057,25973,27
A046,2025-05,29771,25578,28
A046,2025-06,6988,3770,8
A047,2025-01,11830,7555,13
A047,2025-02,33927,29370,0
A047,2025-03,32090,28512,20
A047,2025-04,16073,14189,5
A047,2025-05,23764,23442,24
A047,2025-06,12818,11971,5
A048,2025-01,39641,35237,20
A048,2025-02,9017,6341,1
A048,2025-03,13898,10715,25
A048,2025-04,41855,38737,2
A048,2025-05,18137,14695,13
A048,2025-06,17250,16946,0
A049,2025-01,33183,32095,14
A049,2025-02,17004,12336,30
A049,2025-03,23958,19397,5
A049,2025-04,30845,29146,15
A049,2025-05,42063,39114,0
A049,2025-06,10417,6576,23
A050,2025-01,23799,20678,0
A050,2025-02,6810,2184,1
A050,2025-03,25856,21253,7
A050,2025-04,42441,41254,28
A050,2025-05,17564,15759,25
A050,2025-06,35298,31162,19
